0	0 0 0 0 0 0 1
0.1033914	0.00650187627646724 -0.000184046460999742 -0.963500961512206 -0.00229114943229088 -0.000673065387443611 0.000401996765432745 0.999997068003634
0.2071056	0.00333695621149921 -0.0125939332180265 -1.92364032718866 -0.00274328774512676 -0.000899527746071658 -0.000705439389679677 0.999995583778973
0.3102615	0.00652777784741878 -0.00457657410796065 -2.86839552725773 -0.000880904327262418 -0.000928439676490453 -0.00131303144585559 0.999998318976465
0.4136209	-0.00049178519621716 0.024644892596792 -3.81829872277292 0.00242343743240186 -0.000416330993412153 -0.00275150972561737 0.999993191383694
0.5179293	0.0133183393418014 0.0280743535123305 -4.74599481011973 0.00248082669350887 -0.000182842368223923 -0.00423454084327011 0.999987940292998
0.6203887	0.0203551872203345 0.0182859122092951 -5.66545512020664 0.00114550910051511 0.000129917912747984 -0.00537609912070992 0.999984884129996
0.7242193	0.0270535329015194 -0.00978538530292047 -6.59387303033142 -0.000708838387034977 0.000361050480690873 -0.00549564939266612 0.999984582395371
0.8272107	0.0162524576698843 -0.00898022542138738 -7.50655657705352 -0.000714191600607072 0.00094708292289786 -0.0057931087280677 0.99998251627494
0.930557	0.0249054611349599 -0.0101071237288007 -8.44609701769653 -0.000143249501784301 0.00112421055135441 -0.00533052089721129 0.999985150478336
1.03407	0.0168323484567893 0.0162157196918977 -9.35850840188576 0.00133267435945109 0.00170634117065841 -0.00529529127419982 0.999983636000701
1.137438	-0.0152417433569995 0.0606701972663177 -10.2708276439328 0.00279999086558579 0.00279279745214274 -0.00499970736811674 0.999979681423466
1.244258	0.0226709765760941 0.0667783693480413 -11.2124243982568 0.00313095397073817 0.00209056611166072 -0.00566942858779507 0.999976841851877
1.344229	0.00543697377767054 0.0608522808170891 -12.1163598869651 0.00300225326253542 0.0026709224504143 -0.0059019510746264 0.999974509486179
1.447568	-0.0128516273415618 0.0547067949326862 -13.0202731887792 0.00287355133106609 0.00325127770090187 -0.00613447115671072 0.999971769681368
1.551083	-0.00987001880417103 0.0301069071014853 -13.9060911927131 0.0018989421105544 0.00370667702010574 -0.00648210284513936 0.999970318013007
1.654521	-0.0589303447056063 -0.00875234040025631 -14.8272876213143 0.00103966310931982 0.0049379159373488 -0.00736124050662714 0.999960173319427
1.757843	-0.0441888446784341 -0.0295421701107582 -15.7468484872451 0.000521803326550753 0.00529182855678677 -0.00697861768555305 0.999961510842799
1.861353	-0.0597161822595091 -0.0408307108539302 -16.6492840896607 0.000142966517954833 0.0061082575296969 -0.00634397761048973 0.999961210596993
1.964724	-0.0848441788154088 -0.0474869658980252 -17.533159312624 6.7304962843671e-05 0.00700629664194299 -0.00577190699417576 0.999958795334617
2.068236	-0.105072848805859 -0.035981059825956 -18.4224780327969 0.000435602097709156 0.00782871022313135 -0.00581749216563486 0.999952338030147
2.17162	-0.151410877222723 -0.00955914760069406 -19.3035259798911 0.00110703510967582 0.00898541837833343 -0.00565244917674778 0.999943041651942
2.275131	-0.145330387922691 0.00744259398390759 -20.182023793991 0.00145502781889929 0.00921024357959556 -0.00565680375712929 0.999940525670654
