0	0 0 0 0 0 0 1
0.1041284	0.0105178384505819 0.0153699806462264 -1.32640983897465 0.000743210333615704 2.60544186187148e-05 -0.000107731776037196 0.999999717676676
0.2082536	0.00754331584381399 0.0476923125972501 -2.64054183843958 0.000799260353476983 0.00025104078632197 -0.000541087917093633 0.999999502692515
0.3125038	0.00682385215626401 0.0629574651977294 -3.97104960169767 0.000328535284446416 0.000296282860593477 -0.00127443817252833 0.999999090043775
0.4166248	0.0371674558975202 0.0791435246048206 -5.29365212373282 0.000453277030467164 8.32061011226466e-05 -0.00158448324356221 0.999998638513838
0.5207548	0.0376350554906197 0.0979185206960236 -6.65447966181695 0.000785489193968499 0.000148000625371281 -0.00161750738812243 0.999998372384871
0.6250036	0.0734200802785374 0.144062812401716 -7.99498428303621 0.00151459628301646 -0.000196397978556441 -0.00243740104498867 0.999995863242483
0.7291284	0.105000795750621 0.171059025289139 -9.29948130475068 0.00172173609792531 -0.000351419701508159 -0.00210070527077228 0.999996249576151
0.8332524	0.091077274694469 0.183050419344604 -10.6721505284931 0.000900481020608297 5.43020481261366e-06 -0.00177924366346471 0.999998011696239
0.9375057	0.110464879918583 0.184806137487023 -11.9833135881317 -8.1206856105799e-05 -6.06909175779978e-05 -0.000478579702846104 0.999999880341756
1.04163	0.147806250841316 0.187218442173396 -13.356094784825 -0.000538109267289158 -0.000294514553316616 0.0011903981670314 0.999999103325497
1.145875	0.176351373975413 0.205468498686556 -14.6714233671633 -0.000681903268079546 -0.000416204428364939 0.00255838021534253 0.99999640822979
1.250003	0.155118348665761 0.249920105287253 -16.0599561114377 -0.000131661412025657 -0.000334778917168046 0.00295575688833205 0.999995567034958
1.354255	0.175468505934446 0.316852274545654 -17.4077245824279 0.00125795344207967 -0.000652079185732561 0.00185201813172972 0.99999728118366
1.458401	0.172022700672413 0.385412758442092 -18.7824209438819 0.00225776501512513 -0.000616215135685186 -0.000320153869416973 0.99999721013488
1.562526	0.175948673774953 0.363778301777904 -20.1262257695067 0.00112761125865305 -0.0004778732105545 -0.00138283717553011 0.99999829394424
1.666754	0.214872294740964 0.336603482797638 -21.5081331180316 0.000120064481369491 -0.00083539136372609 -0.00192125266801113 0.999997798244564
